соответствии	10 10
палаты	1 1
собственников	3 1
недвижимости	1 1
жилья	1 1

5	15 31
государственный	1 3

6	13 18
российской	4 3

7	11 13
фондов	8 1

8	7 8
учреждений	2 1
государственные	3 5
учреждения	4 2

9	12 9
некоммерческих	1 1

10	9 9
религиозных	1 1

11	9 3
компаний	1 28
осуществлять	1 4
доход	7 4
лишь	7 10
поскольку	3 8
служит	4 2
ради	1 1
соответствует	1 6
доли	7 16
от
имени	1 1
своими	3 2
котором	3 4
наряду	1 1
хотя	1 2
участник	1 1
другого	1 1
типа	8 5
—	10 107
несет	4 2
риск	5 11
своего	3 5
капитал	10 5
разделены	1 1
общество	21 2
акции	11 1
путем	6 16
открытой	1 1
условиях	7 18
установленных	3 1
правила	1 2
акционерным	3 1
обществам	1 1
содержат	1 2
стоимости	31 6
акций	8 3

акционерное	1 2
которое	3 12
отвечает	3 2
признакам	4 5
признается	6 1
определяются	3 5
другим	1 2
участия	1 2
капитале	5 1
согласно	2 3
иным	2 1
имеет	12 21
20	13 3
%	19 7

производственные	2 1
граждан	3 4
иной	1 11
участии	1 3
собственности	12 18
праве	3 1
имущества	3 1
государственной	3 10
решению	2 2
правительства	3 4
государственного	1 4
форма	3 16
момента	3 1
регистрации	1 1
управлению	3 2
участие	2 4
его
деятельности	1 1
ответственность	7 3
своих	7 18
материальных	13 1
вида	26 7
голоса	2 1
право	2 10
законом	1 1
случаях	1 7

организация	3 3
имеющая	1 1
лицами	2 1
культурные	2 8
деятельностью	2 2
иных	4 4
характера	5 14
в
целях	1 2
координации	1 1
интересов	1 4
члены	2 1
самостоятельность	2 1
права	5 10
юридического	1 2


1	6 2
3	75 37
модели	3 3
условий	8 20
соответствующие	3 7
даны	2 1
выбор	5 24
той	4 11
целом	5 17
наблюдается	2 3
следующая	2 1
степень	4 10
доверия	2 1
нему	1 1
стороны	5 20
территория	4 1
производством	8 4
создавать	1 3
числом	1 2
членов	4 1
наоборот	2 2
параметры	2 3
данной	6 24
превышает	2 4
считают	2 2
поэтому	3 14
хотят	8 1
рамками	1 1
участвовать	4 1
обществом	6 2
общее	3 2
случае	4 17
выхода	3 15
долю	5 10
вклад	2 1
увеличить	9 1
вместе	1 2
полную	6 2
получить	2 6
хозяйства	4 2
производственные	7 1
объекты	2 3
разбросаны	1 1
разным	2 1
ограничена	2 1
вложения	2 1
первую	1 2
очередь	1 7
сохранить	1 1
влияния	3 5
пакет	1 1
движение	3 2
часть	15 14
приобретая	2 1
некоторые	3 4
как
правило	1 1
руководители	3 1
голосующие	2 1
работу	16 3
необходимости	2 3
смогут	2 1
быстро	3 6
выгодно	2 2
продать	2 1
свои	3 21
свой	1 8
состав	20 7
заранее	1 4
определенным	1 2
кругом	1 1
сторону	1 2
усмотрению	2 1
удобной	1 1
надежной	1 1
средств	207 26
необходимым	1 1
иметь	2 12
обычно	2 22
начать	1 1
новое	1 2
дело	1 1
капиталов	2 4
несколько	2 10
управляемость	1 2
сохраняя	1 2
большая	1 5
площадь	1 1
проверки	1 1
контроля	1 16
состоянии	1 4
работать	3 3
эффективно	1 2
такое	18 8
е	16 20
обществу	2 1
принадлежит	1 3
капитала	8 19
риска	2 14
возможность	2 19
силах	1 1
других	7 23
создать	1 6
несколькими	1 4
готовы	2 1
своим	2 2
вкладом	1 1
повысить	2 2
беря	1 1
значительно	2 4
размеры	1 2
значительная	1 1
достаточно	2 12

основные	1 3
сосредоточены	1 1
центральной	1 1
друг	2 3
физические	1 1
имеющие	1 2
высокую	1 1
квалификацию	1 1
имени	1 3
равных	2 1
принятии	2 5
дополнительную	3 1
доверие	1 5
ими	2 7
делятся	4 2
категории	6 3
предприятием	9 6
превосходит	2 2
существенной	2 1
участниками	1 2
существенных	2 1
противоречий	2 1

основная	1 2
масса	2 1
численность	56 4
кооперации	1 4
нуждаются	1 1
аналогичных	1 1
услугах	1 4
уровню	1 2
квалификации	2 2
мере	2 5
семьи	1 7
другие	4 17
близкие	1 1
готовые	1 1
самостоятельно	3 1
необходимые	1 3
денежные	8 3
иные	4 2
семья	1 1
хочет	1 2
сохранении	1 1
местного	1 6
соответствующего	1 3

таблица	24 12

а	103 5

б	137 3
акционерное	4 1
одно	4 3
двух	3 7
одном	4 1
полном	7 1
полное	4 2
распределение	5 10
удовлетворение	2 3
нематериальных	1 2
потребностей	3 11

социальные	1 2
хозяйственные	2 1
преследующие	1 1
социальные	10 2
принимать	1 5
оба	1 1
степени	8 16
достижению	1 1
предприятиями	2 1
каком	1 3
видов	13 7
наличие	3 7
z	1 3
мелких	1 1
10	15 5
каждый	4 10
лично	1 2
размера	4 5
решении	1 1
вопросов	3 2
какова	5 3
находится	4 2
всем	2 7
размере	4 1
преимущество	1 1
форму	3 6
данная	2 2
государственное	1 3

12	6 3
государственная	1 2
общая	9 1

д	16 1
организациям	2 1
отличие	2 5
убытков	3 1
индивидуальные	2 1
управление	2 10
осуществляется	5 19
общему	1 2
найдите	1 1
ниже	7 3
списке	1 3
общественное	1 1
потребительский	1 2
индивидуальный	1 1
создаются	1 3
частных	2 2
фирм	1 26
специализированных	1 1
классифицируются	2 1
состоит	5 14
фирмой	3 7
осуществляет	2 6
торговую	1 1
включать	1 1
торговых	1 8
различия	1 6
задачи	1 12
интересами	1 1
ситуацией	1 1
внутри	1 8
внешней	1 14
средой	1 1
создании	1 3
акционерного	1 1
определенное	2 2
число	25 13


контрольные	2 3
вопросы
что	2 2

как	9 5
происходит	5 9
дочерних	1 1

назовите	3 1

что	3 4
должен	1 6
содержать	1 1
договор	1 2

каковы	1 1
передача	1 1
обращение	1 4
документ	1 1
документы	2 2
содержание	11 5
признаки	3 11
формирование	1 10
увеличение	7 9
уменьшение	3 3
выпуск	13 1
ценных	1 1
бумаг	1 1
занимается	1 2
структуру	11 4
управления	8 13
производственного	20 4
потребительского	2 3

кто	1 1
выходе	1 6
передачи	2 1

признаки	1 1
правильный	1 1
коммерческим	1 2
статей	3 1

задание	3 5
одну	1 4
фирму	1 2
территории	1 6
места	2 3
экономическая	6 4
категория	3 2
труда	70 11
используемые	1 1
также	10 65
года	31 2
активов	12 5
необходимо	10 28
использование	8 10
производстве	8 5
нужд	1 3
течение	11 3
времени	50 15
срока	14 3
свыше	2 3
12	12 7
цикла	10 21
организацией	1 3
данных	12 18
способность	1 4
экономические	2 4
выгоды	1 2
отсутствует	1 2
критерий	1 2
принятия	1 13
объектов	2 3
активы	3 6
критериям	1 5
основным	7 3
средствам	8 2
учетной	1 1
политике	1 6
100	9 5
единицу	28 4
материально	4 2
запасов	12 1
определить	29 15
видовую	1 1
структура	11 5
весом	1 1
каждой	6 16
группы	5 13
предприятию	8 6
промышленности	6 6
производственной	8 1
характеризует	12 2
представлена	3 1
доля	4 17
общем	1 4
5	71 16
лет	16 10
15	7 3
рассчитывается	13 6
величина	12 1
оценка	3 15
стоимость	64 10
первоначальной	7 1
принимаются	2 3
определяется	34 17
сумма	25 6
фактических	2 1
приобретение	1 3
доведение	1 2
исключением	1 1
налогов	6 1
вследствие	2 1
уровня	8 17
инфляции	1 7
нтп	1 1
факторов	9 31
ранее	2 5
действующих	5 3
данном	2 6
году	28 7
ценах	3 12
ходе	1 9
срок	8 6

для	9 16
зависимости	14 31
конкретной	1 4
учета	8 2
=	20 2
i	19 5
го	8 2
полных	1 1
оставшихся	2 1
j	1 1
количество	20 5
использовать	3 12
метода	4 4
определения	7 7
службы	9 3
весь	16 7
исходя	9 3
нормы	7 4

где	18 4
методы	6 17
возмещения	2 1
процесс	4 17
выражением	1 1
процесса	10 5
учитываются	3 3
цену	10 16
рассчитать	28 1
величину	8 1
затраты	91 13
знать	1 5
какие	28 30

к	7 13
которые
находятся	1 1
используются	3 5
дохода	1 4
основными	2 5
средствами	7 6
сроком	2 1
000	3 1
	15 7
6	49 12
амортизационных	10 2
отчислений	9 1
использоваться	1 2
способ	1 4
проведения	3 9

при	8 19
методе	3 2
методам	2 5

	3 157
метод	18 24
сумме	5 3
объему	7 3
использовании	3 3
коэффициента	7 1
максимальная	1 1
равна	7 1
себестоимости	35 2
соотношения	3 3
начале	1 2
основного	3 3
больших	1 2
производится	4 3
объема	23 9

на	4 16
практике	4 10
показатели	25 22
сколько	7 2
приходится	6 5
тыс	91 6

которая	1 2
определенной	3 5
используется	6 12
оборудования	55 8
см	2 1
производительности	30 1
насколько	4 1
товарной	26 10
производительность	13 4

п	1 4
чистая	11 3
машин	6 2
машины	7 1
плану	3 1
годовой	8 1
ед	12 3
мощность	2 1
характеристики	3 14
используют	3 5
баланс	5 1

различают	2 2
следующие	8 13
фонды	7 1
возможное	1 1
период	17 12
год	22 4
ч	23 1
принятым	1 1
разница	3 3
нахождения	2 1
фактически	2 2
важнейшим	1 3
частным	1 1
показателям	1 2
такие	1 11
коэффициент	45 4
7	13 9
8	14 7
интенсивного	3 1
9	12 8
интегрального	1 2
частей	1 1
полученные	2 2
данные	17 15
н	9 3
цена	24 43
техники	2 5
включая	2 6
20%	12 1
10%	4 4
цены	9 103
установлено	1 1
70	1 2
60	5 2
30	11 1
режима	3 2
представлен	2 2
продолжительность	2 2
потери	3 1
эффективный	5 2
дней	28 1
выходные	9 1
16	6 2
изделий	12 3
сумму	16 2

с	4 1
180	2 1
объем	63 16

производственная	2 1

средняя	3 1
9%	3 1
млн	28 2
промышленно	7 2
персонала	11 9
используя	2 3
равен	4 2
числа	1 6
11	7 6

стоимость	1 3
момент	3 12
рост	8 20
одного	36 15
6%	4 3
8%	3 2
13	5 2
2016	1 3
перечисленных	4 1
позиций	3 3
входят	4 7
оборудование	3 1
транспортные	1 1
продукция	16 1
техника	1 1
хозяйственный	1 1
оцениваются	2 1
показатель	11 4
расчете	5 1
уровень	7 50
технической	1 2
доходность	3 1
повышают	2 1
эффективность	14 4
повышение	3 7
современных	1 8
технологий	1 8
совершенствование	2 1
характеризуют	8 2
интенсивное	1 1
линия	1 1
пути	5 2
завода	1 1
станок	1 1
обращения	8 8
деньги	2 2
запасы	12 1
полностью	4 3
периодически	2 2
относится	5 4
материалов	11 5
продукты	1 8

и	1 7
покупку	1 2
учитывает	4 3
сроки	2 2
отношение	5 6
частное	1 1
устанавливаются	1 2
правительством	1 1
министерством	1 1
источник	1 2
правильных	2 1
составляет	14 4
90	2 1
0	11 6
приобретенного	1 1
ежегодно	1 2

контрольные	2 8
вопросы
1	4 2
назовите	8 12
важнейшие	1 1
виды	10 14
охарактеризуйте	2 1
методов	1 15
простого	1 1
воспроизводства	2 14
перечислите	2 4
обобщающие	1 1
направления	3 9
улучшения	2 1
4

1	1 1
коэффициентов	1 1
сделать	3 3
выводы	2 3
динамику	3 2
действие	1 2
источники	4 4
финансирования	5 2
каковы	3 3
политики	1 26
совокупность	6 7
денежных	3 1
с
целью	1 1
обеспечения	2 11

относится	1 1
активам	3 1
разность	3 1
текущими	3 1
задолженностью	1 1
показывает	3 5
источниками	1 5
показателя	5 3
собственных	6 1
созданный	1 2
продукт	1 15
постоянно	1 7
одновременно	1 4
находятся	2 4
денежной	4 3

затем	1 1
платежно	1 1
ценностей	3 5
и
реализации	1 4
структуры	7 5
оборота	33 4
элементам	13 3

по	4 11
подразделяются	9 3
сфера	2 1

под	2 4
элементами	1 1
следует	1 19
разных	2 23
отраслях	2 6
правило	3 14
имеются	3 2
статьи	4 1
представляют	1 3
предметов	1 3
потребителю	1 6
страховые	1 2
технологические	8 1
денежное	2 1
выражение	2 1
характеризуется	3 6
будущих	13 3
новой	2 4
промышленного	2 8
в
соответствии	1 5
продуктом	1 1
подробно	1 1
источникам	3 1
формирования	8 5
собственные	2 3
объясняется	1 1
особенностями	1 6
собственными	1 1
потребность	7 7
средствах	10 4
влиянием	5 7
причин	2 3
расчет	3 2
потребности	13 7
многом	1 7
зависит	4 19
выручки	9 1
готовую	5 1
продукцию	8 7
может
быть	1 1
длительным	1 2
временем	1 4
потребления	3 17

таким	3 5
планировании	2 1
заделов	1 1
аналитический	2 1
прямого	4 7
предполагает	2 19
определение	5 17
роста	9 17
учесть	3 1
конкретные	1 3
условия	1 27

изменение	1 1
цен	4 62
данный	2 6
применяется	2 3
тех	2 11
предприятиях	5 2
ценности	1 10
занимают	1 4
большой	1 7
удельный	2 3
вес	4 7
изменения	19 10
объемов	3 9
сырье	7 3
материалы	10 7
расходы	61 14
группе	1 5
темпов	1 1
анализируется	1 1
возможности	1 14
реальное	1 1
определении	2 6

наиболее	1 3
общий	4 1
объеме	6 1
закрепления	5 1
периоды	1 1
периода	6 2
затем	3 5
величин	1 1
финансовые	1 5
покрытие	1 1
собственной	1 6
маркетинговых	1 27
исследований	1 13
сложившейся	1 1
потребителей	1 58
договорах	1 1
поставки	3 13
главную	1 1
проблему	1 1
сочетании	1 3
сначала	1 2
методом	3 3
определяют	3 5
помощью	1 22
изменение	15 12

метод	3 8
предусматривает	1 3
уровне	4 7
развития	1 32
расчетов	2 4
привлечения	1 2
работников	46 1
юридической	1 1
сбыта	6 70
отдела	1 1
нового	3 10
условием	1 1
значение	2 13
связей	1 6
лежат	1 2
норм	8 2
достаточной	1 1
оплаты	2 1
моментом	1 3
в
производство	1 1
з	5 1
+	3 2
п	16 19
р	7 2
расходов	32 5
сырья	11 5
м	7 5
	37 17
средняя	2 2
производимой	4 1
выпуска	9 9
товара	1 147
данному	2 1
	8 5
продаже	1 6
величины	3 2
предъявляет	1 1
заемные	1 1
отражается	1 2
осуществления	1 7
установленные	1 1
процессе	7 11
постоянные	19 2
нужды	8 1
составляют	7 5
прочих	9 1
специальные	1 1
находиться	1 1
внутренними	1 1
финансовыми	1 1
ресурсами	1 8
текущих	5 2
форме	3 10
положение	1 10
непосредственно	6 4
зависят	1 2
реальные	1 1

длительность	2 1
внутренних	1 6
системой	1 5
формула	1 1
продаж	75 29
выручка	12 2
определенный	2 5
производству	3 2
размещения	1 3
быстрее	1 3
по
производству	1 1
/	1 5
количества	1 4
сокращение	2 5
повышается	1 1

кроме	2 2
отношением	10 1
по
отдельным	1 1
материальные	4 2
выражается	1 5
связи	5 19
улучшением	1 1
отражает	6 2
прямое	1 2
14	6 1
размер	3 10

так	1 5
нужно	2 1
предыдущий	1 2
дает	3 10

возможность	1 4
качества	1 17
конкурентоспособности	1 16
проблемы	1 13
снижения	9 7
способов	2 4
повышения	1 4
управляемости	2 2
связанные	15 7
факторам	6 6
относят	6 3
товарооборота	1 6
сфере	2 8
товарного	1 6
развитие	1 6
группу	1 3
экономико	1 2
специализации	1 6
внедрение	1 3
новых	1 34

факторы	2 2
технологии	2 11
процессов	1 7
ускорение	3 1
расширение	1 4
сети	1 3
имеющей	1 1
способствует	2 4
экономия	6 1
определяющие	1 2

не	2 1
отнести	2 4
соблюдение	1 2
кредитной	1 1
финансовой	3 1
риски	2 6
недостатком	1 1
сырьем	1 1
следствие	1 2
снижение	10 5
дополнительные	2 3
решение	1 5
морально	1 1
должники	1 1
банки	1 1
высокий	1 4
инфляция	1 4
влияющие	3 5
весьма	1 2
оказывают	1 5
положительное	1 1
воздействие	1 5
средних	1 1
размерах	1 1
следующий	1 1
равным	1 1
изменится	1 1
возрастает	3 2
прирост	3 1
при
следующих	1 1
увеличился	3 1
30%	6 2
25	5 1
определите	5 4
счет	7 22
изделия	16 6
пять	1 2
элементов	6 10
программа	3 1
распределяются	1 3
изделие	9 1
нормативы	2 1
общую	5 2
17%	1 1
включают	7 6
товары	1 34
состоят	2 2
покупателями	1 1
разработку	1 2
полуфабрикаты	1 2
собственного	1 2
утверждение	1 1
долгов	1 1
классификации	2 3
элементы	3 11
потребителями	1 3
среднегодовые	1 1
технических	4 6
варианты	2 3
виду	2 4
приводит	2 7
увеличению	2 2
росту	4 3
влияет	1 5
приходящихся	1 1
конкурентов	1 47
рынка	1 147
элемент	1 2
покупателям	1 2
сборки	1 1
структурой	1 1
влияют	2 4
политику	1 3
достоинства	2 7
200	7 1
следующим	4 5
диаграммы	1 1
объем
продаж	2 1
первом	1 3
втором	2 3
сравнению	4 5

данные	1 1
трудовые	1 1
персонал	7 3
персоналом	1 2
понимают	2 5
отношениях	1 4

персонал	1 1
количественные	1 2
качественные	1 1
прямо	3 1
косвенно	1 1

относятся	1 3
персоналу	1 1
торговли	1 16
общественного	1 2
питания	1 1
культурных	1 10
две	1 3
составе	4 1
руководителей	4 3
специалистов	2 2

эффективность	1 1
рабочей	1 5
силы	3 9
кадров	13 1
групп	1 7
прогрессивной	1 1
считается	1 2
которая	2 29
программы	4 4
численности	22 3
динамики	1 5
включает	4 8
включаются	5 1
постоянную	1 1
временную	1 1
трудовой	6 1
работника	3 1
фирме	7 11
каким	3 4
и
т	1 9
принятые	2 2
учет	1 5
ведется	1 1
отдельно	2 1
а
также	4 10
правового	1 3
дату	3 1
первое	1 1
исчисляется	1 1
принимается	1 1
начала	4 4

число	1 1
называется	3 4
обслуживания	4 7
профессионального	1 2
необходимых	2 1
определенных	2 6
выпуску	2 2
выработки	7 1
одним	3 7
плановой	2 3
эффективного	1 4
трудовых	6 3
сп	7 2
отпуска	1 1
вычетом	6 1

расчет	1 1
большинства	1 4
общая	3 1
меняется	1 1
соответственно	6 3
индекс	7 8
продукции
на	1 1
пр	6 2
принятых	3 2
стабильности	1 6
общего	3 8
общ	1 2

выработка	2 1
труд	2 1
соответствующую	1 1
те	1 7
17	4 1
роли	2 6
частями	1 1
затратами	2 1
операциям	1 2
изделиям	1 2
подразделений	1 1
операции	1 8
изделию	1 1
складывается	1 4
одна	1 2
таких	1 17
применяют	1 2
измерения	7 3
снижением	1 4
х	1 2
19	4 5
резервы	4 1
многих	1 5
факторами	1 4
причины	1 1
разделить	4 2
внешние	1 6
своему	3 2
технические	2 1
планирование	1 3
экономическим	7 3
следующем	2 1
разработки	1 17
внедрения	14 7
повышению	1 3
мероприятий	7 16
режим	1 1
программе	1 1
указанной	1 1
среднем	1 2
учебные	1 1
должности	1 1
40%	3 1
820	1 1
марте	1 1
основе
данных	1 1
сентябре	2 1
380	1 1
найти	5 4
возможно	1 5
осуществлении	1 2
4%	1 5
снизить	5 6
3%	1 7

исходя	1 1
4
данные	1 1
40	3 1
34	1 1
процент	6 5
прироста	2 1
м2	8 1
мм	3 5
первого	3 1
второго	2 1
базу	1 2

найти	2 1
цене	8 9
500	3 1
7%	1 3
2%	3 3
мероприятия	12 8
5%	2 6
человека	1 3
900	5 1

процесс	1 5
функций	1 4
любой	1 3
учитывается	2 2
государственных	1 12
хозяйстве	1 1
определяет	1 11
трудовых
ресурсов	1 1
занятых	1 4
основном	1 6
определенную	1 2
стоимостные	2 1
точности	1 3
вид	2 13
требующий	1 2
квалификация	1 2
простота	1 1
применение	1 8
коэффициентом	2 1
25%	1 3
экономисты	1 1
специалисты	1 3
показателем	2 3
занятые	1 1
менее	1 4
соотношение	2 3
главный	1 1
денежный	1 1
статистический	1 5
индексы	2 2
порядок	3 3
недостатки	1 10
развитых	1 4
необходимый	2 1
фактор	2 4
экономического	3 7
страны	1 71
основании	4 4
динамике	1 4
динамика	4 6

принято	1 1
определенные	2 7

основными	1 5
правовыми	1 1
документами	1 1
направлений	2 3
продажей	4 4
иначе	1 2
называют	2 2
продажу	4 5
оценку	1 1
использованных	1 1
природных	1 1
энергии	4 2
рассматривают	1 3
обходится	1 2
сбыт	2 11
альтернативные	1 1

однако	1 6
последние	1 4
трудно	1 1
явных	1 1
условиями	1 3
функционирует	1 1
отрасли	1 23
в
табл	1 2
однородные	2 1
способу	1 1
отнесения	1 2
охвата	1 4
возникновения	2 1
назначения	2 9
содержания	1 1
группам	1 2
независимо	1 2
единой	1 2
сфер	1 1
отраслей	1 4
формировании	1 7
должна	2 26
оплату	2 2

такая	1 1
при
этом	1 1
основой	1 3
для
определения	1 1
инвестиций	1 8
распределения	4 12
отдельные	1 5
перечень	2 5
рассмотрены	1 1
продукции»	2 1

она	1 1
существу	1 1
деятельности
предприятия	1 2
технический	1 1

производства	1 2
разрабатываются	1 2
обеспечивает	1 11
рентабельности	12 2
разрезе	2 1
следовательно	1 1
издержки	4 17
внутреннего	1 7
результатом	1 1
важно	1 3
правильно	2 2
выбрать	1 7

объектами	1 2
особенностей	2 5
заказ	1 2
нескольких	1 10
требование	1 1
выборе	1 15
соответствовать	1 1
принятой	2 3
плане	1 1
признаку	1 5
установить	1 1
направлены	1 2
указывается	1 2
устанавливает	2 1
отраслевую	1 2
зарплата	1 1
прямые	1 4
общие	4 9
действием	1 1
улучшение	1 1
отраслевые	1 4
проявляются	1 1
заработная	7 2
плата	7 3
сырью	1 1

когда	2 2
изменяются	3 1
удельные	4 1
соответствующий	2 2
уровнем	1 10
следующей	1 3
	3 1
зарплаты	1 1
b	1 2
постоянных	9 3
расходах	1 1
2
	2 2

индекс	1 1

экономическая	1 2
всей	1 5
важнейших	1 2
полная	7 1
товарная	1 6
результат	2 1
экономии	2 5
11%	1 1
оптовых	1 1
доходов	1 8
90%	1 1
переменные	17 3
реализацию	3 1
экономически	1 1
отражают	2 1
иного	1 1
косвенные	2 1
вообще	1 3
топливо	3 1
узлов	1 1
прямых	1 6
конкретного	3 9
постоянным	2 3
упаковку	1 1
комплексные	3 1
элемента	1 2
задача	1 5
меньше	3 3

необходимо	1 5
структуре	1 4
затратам	1 1
указать	1 1
управленческого	2 1
чистой	5 3
ведут	1 1
общими	1 1
эффект	1 5
масштабах	1 2
общих	1 1
издержек	1 19
ростом	1 4
равны	1 1
выпускается	3 1
установлена	1 1
производит	1 2
спросом	1 4
населения	1 23
пер	2 2
увеличения	1 6
82	1 3
результаты	1 4
функции	1 4
планирования	1 2
налогообложения	6 1
выплаты	1 1
подразделяется	1 1
этапа	1 7
валовой	2 1
составляющей	2 1
ассортиментные	1 1

учитывая	1 1
переменных	2 6

управленческих	1 1
	1 4
оптовая	4 1

связь	1 1
издержками	1 1
равновесия	1 1
основу	1 5
построении	1 2
горизонтальной	1 1
производства
	1 1
нулю	1 1
получает	2 3
решить	1 2
минимально	1 1

ц	1 1
отличается	1 1
эта	2 12
угрозы	1 2
должно	1 7
выйти	1 1
названия	1 3
отражающие	1 1
безопасности	1 3
процентов	1 3
доходы	3 5
возникает	1 5
аренду	1 1
прав	1 3
патентов	1 1
образцы	1 3
далее	1 3
финансового	1 1
обычных	3 1

формирование	1 2
формой	1 2
приложения	1 1
финансовых	2 5
механизм	2 2
сторон	1 5
построения	1 1
лежит	1 2
целый	1 1
ряд	1 10
прибыльность	1 2
оптовой	1 1

например	1 5
дайте	3 5

финансовые	1 1

доходы	2 1
спрос	2 26
продажной	1 2
точку	1 1
приведены	1 1
находящихся	1 1
распоряжении	1 2
при
сохранении	1 1
приведет	1 1
какого	1 1
ведет	1 5
продавать	1 2
понятием	1 2
косвенный	1 1
прямой	1 4
промышленные	1 1
экономическую	2 3
бухгалтерскую	2 1
валовая	1 1
государство	1 6
направляются	1 1
бюджет	3 4
валовый	1 2
содержит	1 4
выручку	2 1
18%	3 1
способствуют	1 2
отчет	1 1
числу	1 3
представление	1 5
предыдущей	1 1
внести	2 1
включая
коммерческие	1 1
реализовано	1 1

во	1 8
обеспечить	1 12
каждого	1 17

рыночная	1 1
сбытовых	1 3
мебели	1 1
рассматриваются	1 3
варианта	2 2
формулы	1 1

